"name","playerid","Bats","Age_2024","G_2024","AB_2024","PA_2024","H_2024","X1B_2024","X2B_2024","X3B_2024","HR_2024","Age_2023","G_2023","AB_2023","PA_2023","H_2023","X1B_2023","X2B_2023","X3B_2023","HR_2023","Age_2022","G_2022","AB_2022","PA_2022","H_2022","X1B_2022","X2B_2022","X3B_2022","HR_2022","Age_2021","G_2021","AB_2021","PA_2021","H_2021","X1B_2021","X2B_2021","X3B_2021","HR_2021","Age_2020","G_2020","AB_2020","PA_2020","H_2020","X1B_2020","X2B_2020","X3B_2020","HR_2020","Age_2019","G_2019","AB_2019","PA_2019","H_2019","X1B_2019","X2B_2019","X3B_2019","HR_2019","Age_2018","G_2018","AB_2018","PA_2018","H_2018","X1B_2018","X2B_2018","X3B_2018","HR_2018","R_2018"
"Willy Adames",15986,"R",28,161,610,688,166.304347826087,95.6521739130435,41.25,0,28.5714285714286,27,149,553,638,122.448979591837,67.0103092783505,29.5918367346939,2.56410256410256,22.8571428571429,26,139,563,617,144.086021505376,82.7586206896552,31.6326530612245,0,27.4336283185841,25,140,497,555,142.546583850932,77.7803203661327,42.9292929292929,1.58730158730159,24.6655965757089,24,54,185,205,51.063829787234,24.7422680412371,15.4639175257732,0.970873786407767,10.126582278481,23,152,531,584,145.161290322581,95.6989247311828,24.2718446601942,0.813008130081301,25,22,85,288,323,83.3333333333333,61.1650485436893,8.04597701149425,0,12.0481927710843,47.7777777777778
"Deivy Grullón",15988,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,1,3,4,0.892857142857143,0.892857142857143,0,0,0,23,4,9,9,0.99009900990099,0,1.14942528735632,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kean Wong",15994,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,32,60,66,9.80392156862745,7,2.1505376344086,1.02040816326531,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,7,18,18,3.15789473684211,3.09278350515464,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cody Bellinger",15998,"L",28,130,516,569,148.913043478261,98.936170212766,23.9583333333333,2.75229357798165,23.0769230769231,27,130,499,556,151.485148514851,97,29.5918367346939,0.65359477124183,25,26,144,504,550,103.921568627451,58.7628865979381,25.9615384615385,2.36220472440945,16.3793103448276,25,95,315,350,56.5217391304348,35.2272727272727,10.5882352941176,3.44827586206897,7.8125,24,56,213,243,54.8387096774194,31.8681318681319,10.3092783505155,0,12.2448979591837,23,156,558,660,170,89.5833333333333,32.3809523809524,16.6666666666667,37.6,22,162,557,632,152.631578947368,94.4444444444444,29.7872340425532,23.3333333333333,19.2307692307692,91.304347826087
"Odrisamer Despaigne",16017,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,19,5,5,1.02040816326531,0.925925925925926,0,0,0,0
"Stevie Wilkerson",16041,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,31,72,76,11.1794298490777,9.00180036007201,2.77623542476402,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,119,329,361,71.3872274744357,44.4489342357814,17.3060282665128,1.68591418696788,8.60067085232648,26,16,46,49,7.89577575996842,4.82392667631452,3.33370374486054,0,0,1.96116885663856
"Mark Payton",16042,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,8,21,25,3,2.94117647058824,0,0,0,29,24,22,24,3.77358490566038,4,0,0,0,28,8,18,20,2.88461538461538,2.12765957446809,1.14942528735632,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zach Thompson",16094,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,27,15,18,2.12765957446809,1.01010101010101,1.08695652173913,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taylor Gushue",16098,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,2,4,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daniel Ponce de Leon",16110,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,24,5,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,13,9,12,0,0,0,0,0,26,12,9,10,0.970873786407767,0,0,1.38888888888889,0,0
