"name","Bats","predicted_PA","team"
"Connor Joe","R",280.64448,"SDP"
"Yandy Diaz","R",561.18574,"TBR"
"Kevin Padlo","R",192.897,NA
"Luis Urias","R",267.899,NA
"Greg Allen","B",160.995,NA
"Brian O'Keefe","R",204.59304,"KCR"
"Jason Vosler","L",162.981,NA
"Jose Trevino","R",257.49186,"CIN"
"Aramis Garcia","R",111.8578,"ARI"
"Jonah Heim","B",407.1470676,"TEX"
"Lane Thomas","R",438.6188,"CLE"
"Derek Hill","R",174.26496,"MIA"
"Chadwick Tromp","R",195.93384,"ATL"
"Eddy Alvarez","L",152.52616,"ATL"
"Gleyber Torres","R",616.43666,"DET"
"Edmundo Sosa","R",296.242,"PHI"
"Alex Verdugo","L",529.002,NA
"Jose Herrera","B",135.0314952,"ARI"
"Meibrys Viloria","L",212.488,NA
"Ramon Laureano","R",322.8108,"BAL"
"Chad Wallach","R",169.10487,"TEX"
"Yoan Moncada","B",227.5556128,"LAA"
"Jorge Mateo","R",306.47656,"BAL"
"Alex Jackson","R",147.47136,"NYY"
"Michael Chavis","R",180.91388,"LAD"
"Cole Tucker","B",157.623,NA
"Willi Castro","B",541.2382114,"MIN"
"Rafael Devers","L",674.42016,"BOS"
"Jose Siri","R",314.39766,"NYM"
"Eloy Jimenez","R",349.93235,"TBR"
"Taylor Ward","R",587.23434,"LAA"
"Myles Straw","R",164.90238,"TOR"
"Alex Bregman","R",646.87242,"BOS"
"Kevin Newman","R",287.75043,"LAA"
"Matt Beaty","L",126.237,NA
"Josh Lester","L",190.99,NA
"DJ Stewart","L",191.06464,"PIT"
"Jakson Reetz","R",157.48527,"NYM"
"Willie Calhoun","L",243.968,NA
"Tyler Nevin","R",233.454,NA
"Andrew Benintendi","L",414.34569,"CHW"
"Brendan Rodgers","R",412.727,NA
"Ian Happ","B",626.6511185,"CHC"
"Isan Diaz","L",216.679,NA
"Cedric Mullins","L",495.44133,"BAL"
"Andrew Stevenson","L",148.353,NA
"Sam Hilliard","L",187.0291,"COL"
"Ty France","R",443.43242,"MIN"
"Tyler Stephenson","R",410.55,"CIN"
"David Fletcher","R",113.08434,"ATL"
"Paul DeJong","R",347.29596,"WSN"
"Harrison Bader","R",321.57592,"MIN"
"Mark Mathias","R",176.563,NA
"Jake Cronenworth","L",556.64262,"SDP"
"Dylan Moore","R",325.8603,"SEA"
"Sam Haggerty","B",137.2301658,"TEX"
"Kyle Garlick","R",143.379,NA
"Garrett Stubbs","L",138.73158,"PHI"
"Nathan Lukes","L",203.08987,"TOR"
"LaMonte Wade Jr","L",403.527,"SFG"
"Seth Brown","L",278.1315,"ATH"
"Brett Sullivan","L",160.86502,"SDP"
"Brian Anderson","R",185.869,NA
"Dansby Swanson","R",477.2832,"CHC"
"Edwin Rios","L",100.09302,"CIN"
"Kyle Tucker","L",548.43,"CHC"
"Daz Cameron","R",231.23048,"BAL"
"Austin Riley","R",570.21978,"ATL"
"Victor Robles","R",377.8758,"SEA"
"Ryan Mountcastle","R",453.1592,"BAL"
"Travis Blankenhorn","L",163.522,NA
"Juan Yepez","R",320.12244,"WSN"
"Ronald Acuna Jr","R",480.5628,"ATL"
"Ali Sanchez","R",195.97668,"TOR"
"Trent Grisham","L",264.53772,"NYY"
"Luis Arraez","L",405.48968,"SDP"
"Ke'Bryan Hayes","R",372.254,"PIT"
"Jared Walsh","L",135.896,NA
"Ramon Urias","R",311.52056,"BAL"
"Andy Ibanez","R",219.76794,"DET"
"Jose Azocar","R",176.22942,"NYM"
"Josh Naylor","L",627.24737,"ARI"
"Jahmai Jones","R",137.03242,"DET"
"Brandon Lowe","L",496.54748,"TBR"
"Seby Zavala","R",176.81012,"BOS"
"Danny Mendick","R",143.571,NA
"Leody Taveras","B",457.1833812,"TEX"
"Estevan Florial","L",163.482,NA
"Zack Collins","L",216.677,NA
"Will Smith","R",506.44342,"LAD"
"Yuli Gurriel","R",228.215,NA
"Taylor Kohlwey","L",176.149,NA
"Lourdes Gurriel Jr","R",506.9125,"ARI"
"Chris Okey","R",189.81424,"LAD"
"Pete Alonso","R",623.2209,"NYM"
"Cavan Biggio","L",202.29144,"KCR"
"Jake Fraley","L",339.7539,"CIN"
"Garrett Hampson","R",257.24405,"ARI"
"Stone Garrett","R",282.34404,"WSN"
"Adolis Garcia","R",542.05074,"TEX"
"Randy Arozarena","R",599.4531,"SEA"
"Armando Alvarez","R",179.02654,"MIN"
"Nick Senzel","R",203.905,"CHW"
"Alex Call","R",356.26932,"WSN"
"Donovan Walton","L",106.3517,"NYM"
"Matt Thaiss","L",175.97052,"CHW"
"Bryan Reynolds","B",656.9117288,"PIT"
"Nicky Lopez","L",303.90496,"CHC"
"Eli White","R",190.07598,"ATL"
"Sean Murphy","R",402.90102,"ATL"
"Luke Raley","L",372.08899,"SEA"
"Weston Wilson","R",194.833,"PHI"
"Austin Hays","R",356.14014,"CIN"
"Trenton Brooks","L",167.5456,"SDP"
"Zach McKinstry","L",280.58184,"DET"
"Brian Serven","R",128.38294,"DET"
"Yonny Hernandez","B",140.4836156,"NYM"
"Jake Rogers","R",263.83364,"DET"
"Andruw Monasterio","R",239.52798,"MIL"
"Cooper Hummel","B",118.4718843,"HOU"
"Tommy Edman","B",360.9252797,"LAD"
"Kyle Lewis","R",140.098,NA
"Andrew Knizner","R",206.91495,"WSN"
"TJ Friedl","L",372.82635,"CIN"
"Yordan Alvarez","L",658.62621,"HOU"
"Zack Short","R",172.958,"HOU"
"Nathaniel Lowe","L",588.168,"WSN"
"Chas McCormick","R",314.313,"HOU"
"Bryan De La Cruz","R",525.04602,"ATL"
"Otto Lopez","R",324.63234,"MIA"
"Keibert Ruiz","B",398.1088629,"WSN"
"Vladimir Guerrero Jr","R",669.46476,"TOR"
"Bo Bichette","R",417.63186,"TOR"
"Brent Rooker","R",538.3679,"ATH"
"Daniel Johnson","L",145.99,NA
"Mike Brosseau","R",150.95808,"SDP"
"Edward Olivares","R",267.517,NA
"Fernando Tatis Jr","R",512.02176,"SDP"
"Darick Hall","L",188.05592,"PIT"
"Carlos Narvaez","R",217.51412,"BOS"
"Josh Rojas","L",341.23023,"CHW"
"Shohei Ohtani","L",644.51325,"LAD"
"Rylan Bannon","R",183.996,NA
"Dairon Blanco","R",234.32544,"KCR"
"Zach Remillard","R",194.144,NA
"Jhonny Pereda","R",172.16836,"ATH"
"Jason Delay","R",125.557,"PIT"
"Charles Leblanc","R",173.19294,"ATL"
"Joshua Palacios","L",238.42728,"PIT"
"Chuckie Robinson","R",131.26905,"LAA"
"Cody Thomas","L",175.7664,"TEX"
"Caleb Hamilton","R",221.503,NA
"Abraham Toro","B",320.1121593,"BOS"
"Luis Rengifo","B",397.6656604,"LAA"
"Rene Pinto","R",201.0102,"ARI"
"Riley Adams","R",155.05083,"WSN"
"Drew Ellis","R",226.428,NA
"Tristan Gray","L",196.63677,"CHW"
"Adam Haseley","L",147.303,NA
"Emmanuel Rivera","R",295.48792,"BAL"
"Pavin Smith","L",268.45194,"ARI"
"Connor Wong","R",392.60916,"BOS"
"Gavin Sheets","L",321.83814,"SDP"
"Diego A Castillo","R",145.316,NA
"Sandro Fabian","R",223.675,NA
"Jesus Sanchez","L",531.19401,"MIA"
"Daulton Varsho","L",423.09072,"TOR"
"Blake Perkins","B",291.4145253,"MIL"
"Ryan McKenna","R",205.641,NA
"Luke Williams","R",171.27228,"ATL"
"Cristian Pache","R",235.4428,"ARI"
"Andres Gimenez","L",494.99876,"TOR"
"Josh Lowe","L",379.12738,"TBR"
"Gavin Lux","L",390.23774,"CIN"
"Mickey Moniak","L",272.73199,"LAA"
"Blake Rutherford","L",175.497,NA
"Carter Kieboom","R",192.12534,"LAA"
"Taylor Trammell","L",148.5693,"HOU"
"Eguy Rosario","R",243.66624,"SDP"
"Bobby Dalbec","R",142.328,"CHW"
"Tres Barrera","R",158.25259,"TBR"
"Conner Capel","L",135.37535,"ATL"
"Santiago Espinal","R",305.51346,"CIN"
"Bryce Johnson","B",171.2301948,"PIT"
"Keston Hiura","R",131.44656,"COL"
"Miles Mastrobuoni","L",165.21232,"SEA"
"Isaac Paredes","R",606.77,"HOU"
"Luis Robert Jr","R",363.825,"CHW"
"Bligh Madris","L",155.54682,"DET"
"Alan Trejo","R",148.2921,"TEX"
"Juan Soto","L",637.10101,"NYM"
"Dylan Carlson","B",304.4277461,"BAL"
"Matthew Batten","R",143.241,NA
"Miguel Vargas","R",372.276,"CHW"
"Brandon Marsh","L",479.03189,"PHI"
"Jo Adell","R",333.37062,"LAA"
"Kevin Smith","R",172.125,NA
"Jonathan Arauz","B",158.918,NA
"Ben Rortvedt","L",233.32116,"TBR"
"Jake Meyers","R",347.26,"HOU"
"Corey Julks","R",223.516,"CHW"
"Stuart Fairchild","R",212.12532,"CIN"
"Alex Kirilloff","L",262.543,NA
"Ernie Clement","R",308.58162,"TOR"
"Luis Garcia Jr","L",541.269,"WSN"
"Jared Young","L",164.5644,"NYM"
"Royce Lewis","R",432.49917,"MIN"
"Brewer Hicklen","R",130.22948,"MIL"
"Jazz Chisholm Jr","L",533.64968,"NYY"
"Irving Lopez","L",201.656,NA
"William Contreras","R",613.30582,"MIL"
"Drew Waters","B",185.1441344,"KCR"
"Nick Madrigal","R",123.18966,"NYM"
"Nolan Jones","L",377.76925,"COL"
"Vidal Brujan","B",202.9313165,"CHC"
"Jose Miranda","R",444.64442,"MIN"
"Jose Devers","L",186.6177,"ATL"
"Elehuris Montero","R",336.244,NA
"CJ Alexander","L",144.36485,"ATH"
"Kody Clemens","L",238.91146,"PHI"
"Ivan Herrera","R",431.65755,"STL"
"Logan Porter","R",181.786,"SFG"
"Carlos Perez","R",166.042,NA
"Oscar Gonzalez","R",198.3792,"SDP"
"Leo Rivas","B",161.9964622,"SEA"
"Trey Cabbage","L",260.652,NA
"Alejo Lopez","B",149.2183748,"ATH"
"Sean Bouchard","R",196.87636,"COL"
"Dalton Guthrie","R",182.381,NA
"Lars Nootbaar","L",487.973,"STL"
"Nico Hoerner","R",543.78912,"CHC"
"Brandon Lockridge","R",212.24736,"SDP"
"Luken Baker","R",213.01533,"STL"
"Trevor Larnach","L",409.245,"MIN"
"Jonathan India","R",584.5824,"KCR"
"Joey Bart","R",281.993,"PIT"
"Cal Raleigh","B",538.4002734,"SEA"
"Connor Kaiser","R",207.95985,"ARI"
"Nick Fortes","R",245.48238,"MIA"
