"playerid","name","Bats","dist1b","dist2b","dist3b","distHR","distIBB"
6153,"Eduardo Escobar","B",0.606452424321572,0.192406792846183,0.0442591092268726,0.15731374541174,0.0973866688111823
6184,"JD Martinez","R",0.560990142412824,0.238947432592546,0.0111112366395869,0.184206795446067,0.0835061469860063
6195,"Ian Kinsler","R",0.642920419079057,0.225132573479712,0,0.132324719337031,0
6216,"Dellin Betances","R",NA,NA,NA,NA,0
6249,"Trevor Cahill","R",0.985384615384616,0,0,0,0
6310,"Alcides Escobar","R",0.749914482402021,0.190049389528542,0.0399924566780741,0.026239189871913,0.0113793103448276
6345,"Chris Archer","R",0.75263908881986,0.240243902439024,0,0,0
6364,"Danny Valencia","R",0.720744105559161,0.126865671641791,0.0166381208710546,0.12865251208745,0.0904545454545454
6368,"Adam Jones","R",0.676610580241835,0.211812331413068,0.00390960982093987,0.108201486985438,0.0529872311827957
6397,"Jake Odorizzi","R",NA,NA,NA,NA,0
6448,"James Adduci","L",0.705043741224754,0.179565115735329,0.0441633122484186,0.0651878678134904,0
6483,"Steve Cishek","R",0.990147783251231,0,0,0,0
6547,"Jordy Mercer","R",0.743780710159031,0.189932299601289,0.00565312213039485,0.0682734721453149,0.0909765625
6562,"Alex Cobb","R",0.985507246376812,0,0,0,0
6564,"Bobby Wilson","R",0.656725946716973,0.288697333772219,0,0.0459459459459459,0
6576,"Robert Stock","L",NA,NA,NA,NA,0
6589,"Sean Rodriguez","R",0.726481318895717,0.135722794661101,0.0149242424242425,0.129003897586893,0.0158333333333333
6609,"Freddy Galvis","B",0.660607315324847,0.185480254053032,0.013971656305279,0.136433535406388,0.029960233761742
6627,"Brad Brach","R",1,0,0,0,0
6632,"Carlos Carrasco","R",0.995000000000001,0,0,0,0
6652,"Chase d'Arnaud","R",0.582608695652173,0.257692307692308,0,0.173275862068966,0
6655,"Craig Kimbrel","R",NA,NA,NA,NA,0
6677,"JB Shuck","L",0.87243395064895,0.0637078651685392,0.0646964601769911,0,0.0484999999999998
6785,"Andrew Miller","L",NA,NA,NA,NA,0
6797,"Julio Teheran","R",0.832853608039186,0.0845771144278607,0,0.0755422587883323,0
6832,"Sam Freeman","R",NA,NA,NA,NA,0
6848,"Eduardo Nunez","R",0.843307081237594,0.113352594828328,0.00686452654956589,0.0450233905683552,0
6876,"Mark Trumbo","R",0.530572617197128,0.378583352521299,0,0.0946609891909597,0
6885,"Ian Desmond","R",0.58900890342143,0.203924343815811,0.0303996586835711,0.166921938333617,0.0146323529411765
6887,"Martin Maldonado","R",0.604688974789319,0.191816741666673,0.00433546659759836,0.19772078465211,0.00770683493829983
6893,"Johnny Cueto","R",0.980295566502462,0,0,0,0
6895,"Chase Anderson","R",0.87950710774545,0.130376344086021,0,0,0
6902,"Martin Perez","L",NA,NA,NA,NA,0
6938,"Eric Campbell","R",1,0,0,0,0
6986,"Ian Kennedy","R",1,0,0,0,0
7007,"Yadier Molina","R",0.724976825385907,0.154940883819393,0,0.115133346048663,0.00812500000000001
7059,"James Shields","R",0.970873786407767,0,0,0,0
7087,"Caleb Joseph","R",0.472145836629424,0.167590311986863,0.0128132654983984,0.376024214129939,0
7115,"Daniel Bard","R",1,0,0,0,0
7146,"Daniel Hudson","R",NA,NA,NA,NA,0
7158,"Eric Young Jr","B",0.684157788764213,0.19004012505231,0.115529430074765,0.0401112307289437,0
7168,"Juan Centeno","L",0.876134488448844,0.0837339743589744,0,0.0747496423462089,0
7185,"Logan Forsythe","R",0.640710085961542,0.219167533443486,0.00406551509492686,0.130896420001199,0.00820138292213904
7216,"Cesar Puello","R",0.848146460468572,0.0800676920282269,0,0.0680797280760836,0.0491810984661059
7226,"Matt Davidson","R",0.535120870066731,0.129241228171709,0,0.331185908861966,0
7274,"Craig Stammen","R",1,0,0,0,0
7287,"Carlos Gonzalez","L",0.703909861844284,0.17530658183355,0.0133839641434264,0.111954133047028,0.0797999586019279
7290,"Jake Elmore","R",0.913705583756345,0.087719298245614,0,0,0
