"PlayerName","playerid","K/9","HR/9","BB/9","AVG","ERA","SO","BB","HR","ER","HLD","H","R","IBB","HBP"
"Reid Morgan","sa3009860",6.982655,1.2303,3.05851,0.259324,4.44287,16.3976,7.17435,3.065778,11.233605,0,23.0003,12.2529,0.01245,1.02095
"Reid Schaller","sa3008023",7.5888,1.27,3.8151,0.252603,4.52835,0.8432,0.4239,0.141111,0.50315,0,0.9824,0.5392,0.0252,0.05
"Reid VanScoter","sa3020839",6.354505,1.112845,2.58122,0.2617345,4.149105,36.35415,14.14995,6.560111,24.72152,0,54.01185,26.7427,0.00145,2.5217
"Reidis Sena","sa3009626",8.113195,1.186805,4.69422,0.255545,4.768965,22.94875,13.74995,3.5614445,13.758255,0,25.49945,14.7777,0.01275,0.5203
"Reilin Ramirez","sa3022115",4.4649,1.412,8.5815,0.287223,6.92379,0.4961,0.9535,0.156889,0.76931,0,1.1453,0.8155,0.0288,0.052
"Reimy Beltre","sa3008680",4.6008,1.66,7.2837,0.292301,7.11135,0.5112,0.8093,0.184444,0.79015,0,1.183,0.8344,0.0095,0.0525
"Reinaldo De Paula","sa3002820",7.1514,1.22,4.005,0.260522,4.68702,0.7946,0.445,0.135556,0.52078,0,1.0226,0.5597,0.0255,0.0528
"Reinier Parra","sa3015401",6.2982,1.381,6.0552,0.272317,5.78484,0.6998,0.6728,0.153444,0.64276,0,1.0808,0.6839,0.0271,0.0483
"Reiss Knehr","21541",7.5937580952381,1.47660571428571,3.78959047619048,0.255582380952381,4.45022619047619,3.07970391752078,1.50728466334089,0.748323726439907,1.77886050642479,0,0.9792,0.5412,0.0218,0.047
"Reiver Camacho","sa3023839",4.1868,1.67,5.9859,0.295223,6.75855,0.4652,0.6651,0.185556,0.75095,0,1.2069,0.7943,0.0038,0.0478
"Reiver Sanmartin","19754",7.35741,1.0256575,3.36619,0.253624027777778,4.37387916666667,22.5283848133333,9.91898958666667,2.93675673916667,13.65075735,0,28.0179,14.7629,0.01475,1.0201
"Renaldito Florian","sa3019126",4.6593,1.517,8.793,0.288812,7.24779,0.5177,0.977,0.168556,0.80531,0,1.1614,0.8503,0.0292,0.0527
"Renil Ramos","sa3022124",4.1886,1.637,6.9858,0.294958,7.0623,0.4654,0.7762,0.181889,0.7847,0,1.2016,0.8293,0.0033,0.057
"Reny Artiles","sa3008716",5.6772,1.428,7.2531,0.279298,6.41052,0.6308,0.8059,0.158667,0.71228,0,1.1175,0.756,0.0281,0.057
"Reudis Diaz","sa3021566",4.0401,1.472,5.9949,0.296655,6.50304,0.4489,0.6661,0.163556,0.72256,0,1.2078,0.7688,0.0046,0.0545
