"name","playerid","new_TBF","TBF","Source","TBF_adj_rate"
"Drew Gray","sa3017964",4.73,NA,NA,NA
"Drew Hutchison","10732",4.436,NA,NA,NA
"Drew Irvine","sa3019642",4.679,NA,NA,NA
"Drew McDaniel","sa3020384",4.548,NA,NA,NA
"Drew Parrish","sa3011395",219.713,NA,NA,NA
"Drew Pomeranz","11426",60.8559,NA,NA,NA
"Drew Rasmussen","25385",427.851705882353,275.547,"REZ1",1.55273585225879
"Drew Rom","24602",130.831381818182,165.875,"REZ1",0.788734781119408
"Drew Rucinski","12499",51.0464285714286,167.855,"REZ1",0.304110265237429
"Drew Smith","17755",101.564141176471,240.373,"REZ1",0.422527243810539
"Drew Smyly","11760",197.149294117647,179.74,"REZ1",1.09685820695253
"Drew Sommers","sa3020885",4.46,NA,NA,NA
"Drew Steckenrider","18806",4.355,NA,NA,NA
"Drew Strotman","sa3004584",154.236,NA,NA,NA
"Drew Thorpe","31967",370.775882352941,277.456,"REZ1",1.33634119410985
"Drew VerHagen","13424",45.4414285714286,148.095,"REZ1",0.306839721607269
"Drey Jameson","26260",220.711117647059,197.109,"REZ1",1.11974145090817
"Drue Hackenberg","sa3023304",113.368466666667,NA,NA,NA
"Dualvert Gutierrez","sa3015452",4.648,NA,NA,NA
"Duane Underwood Jr","14677",112.357333333333,173.169,"REZ1",0.648830525863944
"Dugan Darnell","sa3014876",102.2165,NA,NA,NA
"Duncan Davitt","sa3020394",240.699,NA,NA,NA
"Duncan Snider","sa3019695",4.451,NA,NA,NA
"Duque Hebbert","sa3021026",4.591,NA,NA,NA
"Durbin Feltman","sa3007959",4.355,NA,NA,NA
"Dusten Knight","16537",4.386,NA,NA,NA
"Dustin May","19716",267.699117647059,204.217,"REZ1",1.3108561855627
"Dustin Saenz","sa3017610",162.697,NA,NA,NA
"Dwayne Matos","sa3009508",4.478,NA,NA,NA
"Dylan Bice","sa918551",4.43,NA,NA,NA
"Dylan Bundy","12917",4.361,NA,NA,NA
"Dylan Burns","sa3018793",4.598,NA,NA,NA
"Dylan Carmouche","sa3023412",4.518,NA,NA,NA
"Dylan Castaneda","sa3011731",4.656,NA,NA,NA
"Dylan Cease","18525",738.757470588235,655.073,"REZ1",1.12774831291816
"Dylan Coleman","22276",147.391923076923,143.133,"REZ1",1.02975500462453
"Dylan Covey","14825",101.699218181818,185.15,"REZ1",0.549280141408686
"Dylan Cumming","sa3020818",217.1965,NA,NA,NA
"Dylan DeLucia","sa3024964",4.482,NA,NA,NA
"Dylan Dodd","29928",187.958764705882,236.985,"REZ1",0.793125154359484
"Dylan File","sa3004197",200.6655,NA,NA,NA
"Dylan Floro","13394",226.826705882353,234.026,"REZ1",0.969237203910475
"Dylan Hall","sa3015008",4.474,NA,NA,NA
"Dylan Heid","sa3019113",117.238,NA,NA,NA
"Dylan King","sa3009924",4.365,NA,NA,NA
"Dylan Lee","19996",255.316941176471,253.288,"REZ1",1.00801041177028
"Dylan Lesko","sa3020677",4.744,NA,NA,NA
"Dylan MacLean","sa3014508",4.667,NA,NA,NA
"Dylan Nedved","sa3020326",4.742,NA,NA,NA
"Dylan Phillips","sa3019862",4.407,NA,NA,NA
"Dylan Ray","sa3020392",188.7065,NA,NA,NA
"Dylan Simmons","sa3023468",4.636,NA,NA,NA
"Dylan Smith","sa3018113",4.383,NA,NA,NA
"Dylan Spacke","sa3010812",4.48,NA,NA,NA
"Dylan Spain","sa3017134",67.699,NA,NA,NA
"Dylan Tebrake","sa3020477",4.308,NA,NA,NA
"Dylan Wilson","sa3021017",4.886,NA,NA,NA
"Easton Lucas","26058",133.263294117647,48.466,"REZ1",2.74962435764551
"Easton McGee","22176",133.697666666667,128.816,"REZ1",1.03789643108517
"Easton Sikorski","sa3020250",4.663,NA,NA,NA
"Eccel Correa","sa3021019",4.635,NA,NA,NA
"Eddy Alberto","sa3019491",4.751,NA,NA,NA
"Eddy Demurias","sa3007852",77.7095,NA,NA,NA
"Eddy Felix","sa3019646",4.769,NA,NA,NA
"Eddy Peralta","sa3021757",5.02,NA,NA,NA
"Eddy Yean","sa3006543",147.2175,NA,NA,NA
"Edelvis Perez","sa3024783",4.877,NA,NA,NA
"Edgar Barclay","sa1170012",256.246,NA,NA,NA
"Edgar Escobar","sa3007244",4.483,NA,NA,NA
"Edgar Garcia","19276",4.48,NA,NA,NA
"Edgar Isea","sa3009936",4.819,NA,NA,NA
"Edgar Leon","sa3019161",4.867,NA,NA,NA
"Edgar Manzo","sa3009638",4.437,NA,NA,NA
"Edgar Moreta","sa3020989",4.592,NA,NA,NA
"Edgar Navarro","24363",51.8891428571429,170.447,"REZ1",0.304429780853537
"Edgar Portes","sa3015386",4.577,NA,NA,NA
"Edgar Sanchez","sa3011131",4.591,NA,NA,NA
