"name","playerid","new_GS","GS","Source","GS_adj_rate"
"Tommy Henry","26285",4.89989058823529,11.045,"REZ1",0.443629749953399
"Tommy Hunter","1157",-0.312,-1.092,"REZ1",0.285714285714286
"Tommy Kahnle","11384",-0.0627647058823529,-1.689,"REZ1",0.0371608678995577
"Tommy Kane","sa3022525",0.0189,NA,NA,NA
"Tommy Mace","sa3018140",11.0871,NA,NA,NA
"Tommy McCollum","sa3017204",0,NA,NA,NA
"Tommy Milone","7608",0.341857142857143,0.758,"REZ1",0.450998869204674
"Tommy Nance","19178",0.0924829411764706,-0.253,"REZ1",-0.365545222041386
"Tommy Parsons","sa3007624",0.1637,NA,NA,NA
"Tommy Romero","23465",5.5608,NA,NA,NA
"Tommy Sommer","sa3016906",0.17,NA,NA,NA
"Tommy Vail","sa3023413",0.1293,NA,NA,NA
"Tommy Ventimiglia","sa3019366",0,NA,NA,NA
"Tomoyuki Sugano","sa3025685",22.7299666666667,NA,NA,NA
"Tomy Sanchez","sa3016292",0,NA,NA,NA
"Tony Dibrell","sa3004657",0.1595,NA,NA,NA
"Tony Gonsolin","19388",15.9370823529412,20.425,"REZ1",0.780273309813521
"Tony Locey","sa3011123",0,NA,NA,NA
"Tony Santillan","19926",0.502519647058824,1.145,"REZ1",0.4388817878243
"Tony Watson","3132",0,NA,NA,NA
"Touki Toussaint","16929",4.84383333333333,1.563,"REZ1",3.09906163361058
"Trace Bright","sa3020558",12.0877,NA,NA,NA
"Travis Adams","sa3017991",4.99382,NA,NA,NA
"Travis Bergen","18581",0.0165,NA,NA,NA
"Travis Kuhn","sa3009928",0,NA,NA,NA
"Travis Lakins Sr","18600",0.5,NA,NA,NA
"Travis MacGregor","sa917950",2.5248,NA,NA,NA
"Travis Perry","sa3007488",0,NA,NA,NA
"Travis Sthele","sa3022941",0.1721,NA,NA,NA
"Travis Sykora","sa3023557",0.1754,NA,NA,NA
"Trayson Kubo","sa3010314",0,NA,NA,NA
"Trennor O'Donnell","sa3023531",0.1196,NA,NA,NA
"Trent Baker","sa3017504",8.0787,NA,NA,NA
"Trent Fennell","sa3007811",0.0351,NA,NA,NA
"Trent Harris","sa3022526",0,NA,NA,NA
"Trent Palmer","sa3014491",4.0599,NA,NA,NA
"Trent Sellers","sa3023454",0.1146,NA,NA,NA
"Trent Thornton","17948",0.0342352941176471,0.194,"REZ1",0.176470588235294
"Trenton Denholm","sa3018139",10.5877,NA,NA,NA
"Trenton Toplikar","sa3007803",0.0346,NA,NA,NA
"Trenton Wallace","sa3017748",11.0877,NA,NA,NA
"Trevin Michael","sa3020400",0.51035,NA,NA,NA
"Trevor Bauer","12703",0.1754,NA,NA,NA
