"name","playerid","new_LOB%","LOB%","Source","LOB%_adj_rate"
"Tim Naughton","sa3004713",0.7151795,NA,NA,NA
"Timmy Manning","sa3023173",0.704174,NA,NA,NA
"Tink Hence","sa3014709",0.708443571428571,NA,NA,NA
"Tobias Myers","22191",0.724574588235294,0.742,"REZ1",0.976515617567782
"Todd Peterson","sa3011334",0.688291,NA,NA,NA
"Tom Cosgrove","23443",0.708576705882353,0.717,"REZ1",0.988252030519321
"Tom Reisinger","sa3022958",0.676595,NA,NA,NA
"Tomas Cleto","sa3016009",0.680768,NA,NA,NA
"Tomas Reyes","sa3008445",0.695494,NA,NA,NA
"Tommy Doyle","21281",0.681024470588235,0.662,"REZ1",1.02873787097921
"Tommy Eveld","sa918150",0.718187,NA,NA,NA
"Tommy Henry","26285",0.704753882352941,0.672,"REZ1",1.04874089635854
"Tommy Hunter","1157",0.726307142857143,0.765,"REZ1",0.949421101774043
"Tommy Kahnle","11384",0.722438470588235,0.689,"REZ1",1.04853188764621
"Tommy Kane","sa3022525",0.708336,NA,NA,NA
"Tommy Mace","sa3018140",0.6895835,NA,NA,NA
"Tommy McCollum","sa3017204",0.703227,NA,NA,NA
"Tommy Milone","7608",0.689343571428571,0.662,"REZ1",1.0413044885628
"Tommy Nance","19178",0.719917411764706,0.761,"REZ1",0.946014995748628
"Tommy Parsons","sa3007624",0.689498,NA,NA,NA
"Tommy Romero","23465",0.700525,NA,NA,NA
"Tommy Sommer","sa3016906",0.705841,NA,NA,NA
"Tommy Vail","sa3023413",0.717074,NA,NA,NA
"Tommy Ventimiglia","sa3019366",0.671434,NA,NA,NA
"Tomoyuki Sugano","sa3025685",0.692497333333333,NA,NA,NA
"Tomy Sanchez","sa3016292",0.674363,NA,NA,NA
"Tony Dibrell","sa3004657",0.697595,NA,NA,NA
"Tony Gonsolin","19388",0.696255411764706,0.688,"REZ1",1.01199914500684
"Tony Locey","sa3011123",0.702754,NA,NA,NA
"Tony Santillan","19926",0.719457411764706,0.719,"REZ1",1.00063617769778
"Tony Watson","3132",0.723491,NA,NA,NA
"Touki Toussaint","16929",0.689392916666667,0.62,"REZ1",1.11192405913978
"Trace Bright","sa3020558",0.70314,NA,NA,NA
"Travis Adams","sa3017991",0.695702,NA,NA,NA
"Travis Bergen","18581",0.722271,NA,NA,NA
"Travis Kuhn","sa3009928",0.7120455,NA,NA,NA
"Travis Lakins Sr","18600",0.711347,NA,NA,NA
"Travis MacGregor","sa917950",0.6973245,NA,NA,NA
"Travis Perry","sa3007488",0.71484,NA,NA,NA
"Travis Sthele","sa3022941",0.67789,NA,NA,NA
"Travis Sykora","sa3023557",0.70341,NA,NA,NA
"Trayson Kubo","sa3010314",0.712165,NA,NA,NA
"Trennor O'Donnell","sa3023531",0.671895,NA,NA,NA
"Trent Baker","sa3017504",0.6900255,NA,NA,NA
"Trent Fennell","sa3007811",0.706948,NA,NA,NA
"Trent Harris","sa3022526",0.7127376,NA,NA,NA
"Trent Palmer","sa3014491",0.690301,NA,NA,NA
"Trent Sellers","sa3023454",0.721928,NA,NA,NA
"Trent Thornton","17948",0.731929294117647,0.696,"REZ1",1.05162254901961
"Trenton Denholm","sa3018139",0.7018825,NA,NA,NA
"Trenton Toplikar","sa3007803",0.707705,NA,NA,NA
"Trenton Wallace","sa3017748",0.7102775,NA,NA,NA
"Trevin Michael","sa3020400",0.719178,NA,NA,NA
"Trevor Bauer","12703",0.731173,NA,NA,NA
"Trevor Bettencourt","sa918556",0.713098,NA,NA,NA
"Trevor Brigden","sa3011481",0.712505,NA,NA,NA
